,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
80,Camana,PE,-16.6228,-72.7111,67.44,89,99,8.97,overcast clouds
81,Lumeje,AO,-11.55,20.7833,67.93,88,100,0.63,overcast clouds
82,Ulaanbaatar,MN,47.9077,106.8832,6.93,56,17,2.24,few clouds
83,Bucerias,MX,20.75,-105.3333,68.41,76,99,4.14,overcast clouds
84,Avarua,CK,-21.2078,-159.775,77.05,83,100,8.05,overcast clouds
85,Mount Gambier,AU,-37.8333,140.7667,78.71,33,0,9.46,clear sky
86,Clyde River,CA,70.4692,-68.5914,-17.18,96,25,3.89,scattered clouds
87,Muli,MV,2.9167,73.5667,80.31,81,100,18.72,overcast clouds
88,Tshikapa,CD,-6.4167,20.8,73.24,94,100,1.07,overcast clouds
89,Liverpool,GB,53.4106,-2.9779,54.52,90,90,0.0,drizzle
90,Tasiilaq,GL,65.6145,-37.6368,39.36,63,100,27.83,overcast clouds
91,Kavieng,PG,-2.5744,150.7967,83.88,77,100,7.52,light rain
92,Ashta,IN,23.0167,76.7167,73.53,39,0,5.77,clear sky
93,San Sebastian Huehuetenango,GT,15.3833,-91.5833,54.25,80,0,0.43,clear sky
94,Qaanaaq,GL,77.484,-69.3632,-1.37,64,0,6.58,clear sky
95,Burns Lake,CA,54.2331,-125.7533,23.11,86,100,2.46,overcast clouds
96,Bengkulu,ID,-3.8004,102.2655,83.93,68,98,3.74,overcast clouds
97,Saint-Pierre,RE,-21.3393,55.4781,83.88,64,0,5.75,clear sky
98,Bethel,US,41.3712,-73.414,55.76,40,90,19.57,overcast clouds
99,Esperance,AU,-33.8667,121.9,66.04,61,98,18.95,overcast clouds
100,Coahuayana,MX,18.7333,-103.6833,72.37,92,62,3.96,broken clouds
101,Puerto Ayora,EC,-0.7393,-90.3518,68.56,97,100,1.01,overcast clouds
102,Huilong,CN,31.8111,121.655,51.93,63,100,17.36,overcast clouds
103,Lorengau,PG,-2.0226,147.2712,85.59,76,100,11.77,overcast clouds
104,Santa Rosa,PH,14.3122,121.1114,85.1,69,64,16.04,broken clouds
105,Kushmurun,KZ,52.4503,64.6311,7.92,91,20,10.58,few clouds
106,Cape Town,ZA,-33.9258,18.4232,66.09,82,100,4.34,overcast clouds
107,Igarka,RU,67.4667,86.5833,-25.02,91,67,6.38,broken clouds
108,Ribeira Grande,PT,38.5167,-28.7,61.59,70,100,17.98,overcast clouds
109,San Cristobal,VE,7.7669,-72.225,63.09,94,97,2.93,overcast clouds
110,Oga,IT,46.4631,10.347,15.69,96,87,7.67,overcast clouds
111,Longyearbyen,SJ,78.2186,15.6401,33.64,69,75,23.02,light rain
112,Abdulino,RU,53.7,53.6667,11.57,87,6,4.94,clear sky
113,Ancud,CL,-41.8697,-73.8203,48.42,84,87,15.79,light rain
114,Port Alfred,ZA,-33.5906,26.891,69.75,88,100,7.2,light rain
115,Namatanai,PG,-3.6667,152.4333,82.94,78,87,7.83,light rain
116,Harper,LR,4.375,-7.7169,78.13,85,62,2.26,broken clouds
117,Panaba,MX,21.2833,-88.2667,70.25,94,53,6.35,broken clouds
118,Ambon,ID,-3.6954,128.1814,85.95,69,59,10.71,broken clouds
119,Aklavik,CA,68.2191,-135.0107,-0.96,90,100,20.33,overcast clouds
120,Radford,US,37.1318,-80.5764,41.58,78,90,16.11,overcast clouds
121,Bredasdorp,ZA,-34.5322,20.0403,62.28,66,97,5.1,overcast clouds
122,Ugoofaaru,MV,5.6667,73.0,82.06,72,94,6.93,overcast clouds
123,East London,ZA,-33.0153,27.9116,67.14,100,75,5.75,broken clouds
124,Derzhavinsk,KZ,51.1,66.3167,11.8,83,100,15.14,overcast clouds
125,Burgeo,CA,47.6167,-57.6152,43.38,99,100,24.43,overcast clouds
126,Ilulissat,GL,69.2167,-51.1,19.42,63,96,8.05,overcast clouds
127,Margate,GB,51.3813,1.3862,53.96,93,99,1.01,overcast clouds
128,Port Lincoln,AU,-34.7333,135.8667,78.76,42,71,4.79,broken clouds
129,Castro,BR,-24.7911,-50.0119,66.97,58,100,1.54,overcast clouds
130,Umm Lajj,SA,25.0213,37.2685,78.22,27,100,5.48,overcast clouds
131,Bulgan,MN,48.8125,103.5347,18.3,36,17,3.8,few clouds
132,Natal,BR,-5.795,-35.2094,79.45,78,40,6.91,scattered clouds
133,Padang,ID,-0.9492,100.3543,87.85,81,100,3.24,overcast clouds
134,Ahipara,NZ,-35.1667,173.1667,72.75,81,74,5.32,broken clouds
135,Hellvik,NO,59.9156,5.781,41.27,87,100,7.16,overcast clouds
136,Garzon,CO,2.1959,-75.6278,67.95,96,99,0.74,light rain
137,Port Blair,IN,11.6667,92.75,86.04,70,40,11.5,scattered clouds
138,Brumado,BR,-14.2036,-41.6653,68.04,98,21,4.43,few clouds
139,Kruisfontein,ZA,-34.0033,24.7314,68.88,67,95,3.71,overcast clouds
140,Georgetown,MY,5.4112,100.3354,89.53,55,20,6.91,few clouds
141,Mana,GF,5.6592,-53.7767,76.5,92,100,9.6,moderate rain
142,Pueblo,US,38.2545,-104.6091,45.61,28,1,14.97,clear sky
143,Hammerfest,NO,70.6634,23.6821,32.45,74,90,0.0,overcast clouds
144,Hobyo,SO,5.3505,48.5268,81.59,69,28,21.0,scattered clouds
145,Saskylakh,RU,71.9167,114.0833,-44.72,100,73,1.9,broken clouds
146,Viedma,AR,-40.8135,-62.9967,69.33,32,100,7.78,overcast clouds
147,Sault Sainte Marie,CA,46.5168,-84.3333,28.69,69,1,10.36,clear sky
148,Vangaindrano,MG,-23.35,47.6,83.17,59,19,5.61,few clouds
149,Warri,NG,5.5167,5.75,77.54,89,89,2.1,overcast clouds
150,Cabo San Lucas,MX,22.8909,-109.9124,72.52,70,1,4.38,clear sky
151,Kyren,RU,51.6828,102.1408,25.16,75,96,3.51,overcast clouds
152,Koster,ZA,-25.863,26.8976,63.01,69,100,6.87,light rain
153,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,83,90,5.99,overcast clouds
154,Jinan,CN,36.6683,116.9972,40.59,22,19,9.71,few clouds
155,Sioux Lookout,CA,50.1001,-91.917,15.49,92,38,7.56,scattered clouds
156,Hualmay,PE,-11.0964,-77.6139,66.45,89,36,7.14,scattered clouds
157,Pemberton,CA,50.3164,-122.8027,23.56,94,89,4.25,overcast clouds
158,Yuli,NG,9.6989,10.2744,69.48,26,85,6.51,overcast clouds
159,Mabaruma,GY,8.2,-59.7833,73.09,100,100,1.41,overcast clouds
160,Cherskiy,RU,68.75,161.3,-45.17,98,40,3.29,scattered clouds
161,Pocone,BR,-16.2567,-56.6228,74.35,95,100,3.4,overcast clouds
162,Pudozh,RU,61.8099,36.5345,10.0,89,97,6.46,overcast clouds
163,Amga,RU,60.8953,131.9608,-26.23,100,95,0.94,overcast clouds
164,Fort Madison,US,40.6298,-91.3151,36.01,60,18,8.05,few clouds
165,Coquimbo,CL,-29.9533,-71.3436,56.93,88,0,5.75,clear sky
166,Sao Filipe,CV,14.8961,-24.4956,74.52,67,69,3.85,broken clouds
167,Birao,CF,10.2849,22.7882,73.13,22,69,9.86,broken clouds
168,Luderitz,NA,-26.6481,15.1594,67.12,54,50,10.07,scattered clouds
169,Butaritari,KI,3.0707,172.7902,82.81,71,99,15.84,overcast clouds
170,Chenzhou,CN,25.8,113.0333,50.25,85,100,6.33,overcast clouds
171,Onega,RU,63.9061,38.1404,18.91,86,100,8.46,overcast clouds
172,Chuy,UY,-33.6971,-53.4616,59.83,90,0,5.46,clear sky
173,Ushtobe,KZ,45.2514,77.9838,34.9,56,100,6.53,light rain
174,Xuddur,SO,4.1213,43.8894,79.34,54,38,24.02,scattered clouds
175,Moerai,PF,-22.4333,-151.3333,78.4,74,100,3.33,overcast clouds
176,Lagunas,PE,-5.2269,-75.6753,73.15,98,45,1.63,scattered clouds
177,Port Keats,AU,-14.25,129.55,89.87,58,86,11.86,overcast clouds
178,Tiksi,RU,71.6872,128.8694,-18.53,99,98,3.38,overcast clouds
179,Manta,EC,-0.95,-80.7333,71.38,94,90,0.0,light rain
180,Khatanga,RU,71.9667,102.5,-47.63,100,51,3.18,broken clouds
181,Itoman,JP,26.1247,127.6694,75.58,53,75,11.5,broken clouds
182,Guthrie,US,35.8789,-97.4253,41.61,55,1,8.05,clear sky
183,Puteyets,RU,65.1716,57.091,17.87,87,100,8.43,overcast clouds
184,Jeremie,HT,18.65,-74.1167,76.3,78,0,2.86,clear sky
185,Katsuura,JP,35.1333,140.3,66.18,64,23,25.99,few clouds
186,Nazas,MX,25.2333,-104.1333,57.15,43,56,3.98,broken clouds
187,Mar Del Plata,AR,-38.0023,-57.5575,66.87,90,73,18.99,broken clouds
188,Yellowknife,CA,62.456,-114.3525,10.42,89,90,1.99,light snow
189,Pundaguitan,PH,6.3711,126.1689,83.41,74,88,9.17,overcast clouds
